,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
1003,2014,4,VX,Virgin America,LAX,"Los Angeles, CA: Los Angeles International",1218.0,124.0,24.99,1.0,47.33,2.0,3.0,537.0,1333.0,32.0,3467.0
1004,2014,4,VX,Virgin America,JFK,"New York, NY: John F. Kennedy International",292.0,53.0,16.6,0.0,6.7,0.0,1.0,231.0,1572.0,0.0,263.0
1006,2014,4,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",168.0,55.0,2.61,0.0,1.82,0.0,0.0,300.0,5557.0,0.0,162.0
1007,2014,4,VX,Virgin America,SEA,"Seattle, WA: Seattle/Tacoma International",216.0,16.0,2.99,0.0,10.46,1.0,0.0,16.0,94.0,0.0,353.0
1008,2014,4,VX,Virgin America,ORD,"Chicago, IL: Chicago O'Hare International",134.0,25.0,2.61,0.0,5.18,0.0,0.0,266.0,562.0,0.0,374.0
1011,2014,4,VX,Virgin America,LAS,"Las Vegas, NV: McCarran International",299.0,27.0,5.24,0.0,13.94,0.0,0.0,53.0,231.0,0.0,791.0
1014,2014,4,VX,Virgin America,MCO,"Orlando, FL: Orlando International",34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,2014,4,VX,Virgin America,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",168.0,15.0,5.56,0.0,9.25,0.0,1.0,0.0,3.0,0.0,606.0
1022,2014,4,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1475.0,340.0,105.48,0.4,153.54,5.0,2.0,475.0,2232.0,11.0,7916.0
1036,2014,4,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",176.0,52.0,19.4,0.0,27.37,0.0,1.0,55.0,158.0,0.0,1217.0
1038,2014,4,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3113.0,914.0,255.06,1.24,444.72,44.0,5.0,241.0,7646.0,31.0,21415.0
1044,2014,4,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4915.0,1270.0,357.23,1.67,701.67,42.0,5.0,567.0,6657.0,46.0,33136.0
1059,2014,4,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",4635.0,1050.0,304.3,2.09,545.92,7.0,10.0,1457.0,5809.0,59.0,23420.0
1064,2014,4,WN,Southwest Airlines Co.,EWR,"Newark, NJ: Newark Liberty International",505.0,249.0,68.6,0.0,56.71,5.0,0.0,1857.0,7959.0,0.0,4043.0
1077,2014,4,WN,Southwest Airlines Co.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",118.0,37.0,12.59,0.0,19.99,0.0,2.0,44.0,159.0,0.0,1263.0
